

Committee Timetable
Day 1	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 1	Committee 8                         	Committee 23                        	Committee 7                         	Committee 9                         	Committee 2                         	
Slot 2	Committee 8                         	Committee 23                        	Committee 7                         	Committee 9                         	Committee 2                         	
Slot 3	Committee 8                         	Committee 24                        	Committee 30                        	Committee 9                         	Committee 2                         	
Slot 4	Committee 8                         	Committee 24                        	Committee 30                        	Committee 9                         	Committee 2                         	
Slot 5	Committee 8                         	Committee 21                        	Committee 30                        	Committee 9                         	Committee 2                         	
Slot 6	Committee 8                         	Committee 21                        	Committee 30                        	Committee 9                         	Committee 2                         	
Slot 7	Committee 8                         	                                      	Committee 13                        	Committee 9                         	                                      	
Slot 8	Committee 8                         	Committee 5                         	Committee 13                        	Committee 9                         	                                      	
Slot 9	Committee 5                         	                                      	Committee 17                        	Committee 36                        	                                      	
Slot 10	Committee 5                         	                                      	Committee 17                        	Committee 36                        	                                      	
Slot 11	Committee 5                         	Committee 10                        	                                      	Committee 36                        	                                      	
Slot 12	Committee 5                         	Committee 10                        	Committee 30                        	Committee 36                        	Committee 29                        	
Slot 13	Committee 5                         	Committee 10                        	Committee 30                        	Committee 36                        	Committee 29                        	
Slot 14	Committee 13                        	Committee 10                        	Committee 30                        	Committee 36                        	Committee 29                        	

Day 2	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 1	Committee 11                        	Committee 17                        	Committee 22                        	Committee 33                        	Committee 21                        	
Slot 2	Committee 11                        	Committee 17                        	Committee 29                        	Committee 33                        	Committee 21                        	
Slot 3	Committee 11                        	Committee 17                        	Committee 29                        	Committee 33                        	Committee 21                        	
Slot 4	Committee 11                        	Committee 17                        	Committee 29                        	Committee 33                        	Committee 21                        	
Slot 5	Committee 11                        	Committee 17                        	Committee 33                        	Committee 35                        	Committee 21                        	
Slot 6	Committee 13                        	Committee 17                        	Committee 33                        	Committee 35                        	Committee 21                        	
Slot 7	Committee 13                        	Committee 17                        	Committee 29                        	Committee 35                        	Committee 36                        	
Slot 8	Committee 13                        	Committee 6                         	Committee 29                        	Committee 35                        	Committee 36                        	
Slot 9	Committee 13                        	Committee 6                         	Committee 29                        	Committee 35                        	Committee 36                        	
Slot 10	Committee 13                        	Committee 6                         	Committee 29                        	Committee 35                        	Committee 36                        	
Slot 11	Committee 13                        	Committee 6                         	Committee 26                        	Committee 35                        	Committee 28                        	
Slot 12	Committee 13                        	Committee 6                         	Committee 26                        	Committee 35                        	Committee 28                        	
Slot 13	Committee 13                        	Committee 27                        	Committee 26                        	Committee 35                        	Committee 28                        	
Slot 14	Committee 13                        	Committee 27                        	Committee 26                        	Committee 35                        	Committee 28                        	

Day 3	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 1	Committee 1                         	Committee 24                        	Committee 25                        	Committee 34                        	Committee 23                        	
Slot 2	Committee 1                         	Committee 24                        	Committee 27                        	Committee 34                        	Committee 23                        	
Slot 3	Committee 11                        	Committee 24                        	Committee 27                        	Committee 34                        	Committee 23                        	
Slot 4	Committee 11                        	Committee 24                        	Committee 27                        	Committee 34                        	Committee 23                        	
Slot 5	Committee 11                        	Committee 24                        	Committee 27                        	Committee 34                        	Committee 23                        	
Slot 6	Committee 11                        	Committee 24                        	Committee 25                        	Committee 34                        	Committee 23                        	
Slot 7	Committee 11                        	Committee 10                        	Committee 25                        	Committee 31                        	Committee 34                        	
Slot 8	Committee 11                        	Committee 10                        	Committee 25                        	Committee 31                        	Committee 34                        	
Slot 9	Committee 11                        	Committee 10                        	Committee 25                        	Committee 31                        	Committee 34                        	
Slot 10	Committee 9                         	Committee 8                         	Committee 25                        	Committee 31                        	Committee 30                        	
Slot 11	Committee 9                         	Committee 8                         	Committee 25                        	Committee 31                        	Committee 30                        	
Slot 12	Committee 9                         	Committee 8                         	Committee 25                        	Committee 34                        	Committee 4                         	
Slot 13	Committee 1                         	Committee 12                        	Committee 25                        	Committee 34                        	Committee 4                         	
Slot 14	Committee 1                         	Committee 12                        	Committee 25                        	Committee 34                        	Committee 4                         	

Day 4	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 1	Committee 10                        	Committee 24                        	Committee 30                        	Committee 22                        	                                      	
Slot 2	Committee 10                        	Committee 24                        	Committee 30                        	Committee 22                        	                                      	
Slot 3	Committee 10                        	Committee 24                        	Committee 30                        	                                      	                                      	
Slot 4	Committee 10                        	Committee 24                        	Committee 19                        	                                      	                                      	
Slot 5	Committee 10                        	                                      	Committee 19                        	                                      	                                      	
Slot 6	Committee 3                         	Committee 2                         	Committee 19                        	Committee 4                         	Committee 15                        	
Slot 7	Committee 3                         	Committee 23                        	Committee 19                        	Committee 4                         	Committee 15                        	
Slot 8	Committee 3                         	Committee 23                        	Committee 19                        	Committee 4                         	Committee 15                        	
Slot 9	Committee 3                         	Committee 23                        	Committee 29                        	Committee 4                         	Committee 15                        	
Slot 10	Committee 3                         	Committee 23                        	Committee 29                        	Committee 4                         	Committee 15                        	
Slot 11	Committee 3                         	Committee 1                         	Committee 26                        	Committee 4                         	Committee 15                        	
Slot 12	Committee 3                         	Committee 1                         	Committee 26                        	Committee 4                         	Committee 15                        	
Slot 13	Committee 3                         	Committee 1                         	Committee 26                        	Committee 4                         	Committee 15                        	
Slot 14	Committee 3                         	Committee 1                         	Committee 26                        	Committee 4                         	Committee 15                        	
